post_id,date,content_type,caption,likes,comments,shares,views,hashtags,followers_count,day_of_week,hour,caption_word_count,engagement,engagement_rate
P1,2025-01-01,Image,Sample caption 1,4898,183,3,8504,#food,1000,Wednesday,0,3,5084,5.084
P2,2025-01-03,Reel,Sample caption 2,261,67,103,19815,#fitness,1183,Friday,0,3,431,0.3643279797125951
P3,2025-01-05,Reel,Sample caption 3,4397,356,198,8277,#music,1367,Sunday,0,3,4951,3.6217995610826628
P4,2025-01-07,Video,Sample caption 4,2081,235,155,697,#fun,1551,Tuesday,0,3,2471,1.5931656995486783
P5,2025-01-09,Image,Sample caption 5,1095,245,137,2430,#fitness,1734,Thursday,0,3,1477,0.8517877739331027
P6,2025-01-11,Image,Sample caption 6,3442,56,62,12274,#food,1918,Saturday,0,3,3560,1.8561001042752867
P7,2025-01-13,Image,Sample caption 7,4651,100,165,15587,#fun,2102,Monday,0,3,4916,2.3387250237868695
P8,2025-01-15,Reel,Sample caption 8,3898,392,51,9839,#fitness,2285,Wednesday,0,3,4341,1.899781181619256
P9,2025-01-17,Video,Sample caption 9,1375,226,172,12089,#music,2469,Friday,0,3,1773,0.7181044957472661
P10,2025-01-19,Reel,Sample caption 10,1116,489,152,19395,#fitness,2653,Sunday,0,3,1757,0.662269129287599
P11,2025-01-21,Image,Sample caption 11,437,411,59,16208,#music,2836,Tuesday,0,3,907,0.3198166431593794
P12,2025-01-23,Reel,Sample caption 12,978,235,118,17543,#food,3020,Thursday,0,3,1331,0.44072847682119204
P13,2025-01-25,Reel,Sample caption 13,1176,241,160,3311,#music,3204,Saturday,0,3,1577,0.49219725343320847
P14,2025-01-27,Image,Sample caption 14,4987,147,96,14743,#fun,3387,Monday,0,3,5230,1.5441393563625627
P15,2025-01-29,Image,Sample caption 15,4093,175,180,7046,#food,3571,Wednesday,0,3,4448,1.2455894707364883
P16,2025-01-31,Image,Sample caption 16,4959,33,113,2486,#fun,3755,Friday,0,3,5105,1.359520639147803
P17,2025-02-02,Image,Sample caption 17,479,40,62,8838,#fashion,3938,Sunday,0,3,581,0.14753682072117827
P18,2025-02-04,Video,Sample caption 18,592,17,186,11911,#travel,4122,Tuesday,0,3,795,0.19286754002911208
P19,2025-02-06,Video,Sample caption 19,2162,164,52,3411,#music,4306,Thursday,0,3,2378,0.5522526706920576
P20,2025-02-08,Image,Sample caption 20,3984,331,12,2234,#travel,4489,Saturday,0,3,4327,0.9639117843617733
P21,2025-02-10,Video,Sample caption 21,164,191,39,18727,#travel,4673,Monday,0,3,394,0.08431414508880805
P22,2025-02-12,Image,Sample caption 22,2668,247,130,9180,#music,4857,Wednesday,0,3,3045,0.6269302038295244
P23,2025-02-14,Image,Sample caption 23,2127,90,131,19860,#food,5040,Friday,0,3,2348,0.4658730158730159
P24,2025-02-16,Image,Sample caption 24,2795,288,113,18843,#fashion,5224,Sunday,0,3,3196,0.611791730474732
P25,2025-02-18,Video,Sample caption 25,1595,70,101,6259,#fun,5408,Tuesday,0,3,1766,0.3265532544378698
P26,2025-02-20,Reel,Sample caption 26,491,174,113,2885,#fitness,5591,Thursday,0,3,778,0.13915220890717225
P27,2025-02-22,Image,Sample caption 27,4614,49,184,11611,#fun,5775,Saturday,0,3,4847,0.8393073593073593
P28,2025-02-24,Video,Sample caption 28,4574,66,81,5236,#fitness,5959,Monday,0,3,4721,0.7922470213123007
P29,2025-02-26,Video,Sample caption 29,3661,445,187,2302,#fun,6142,Wednesday,0,3,4293,0.6989579941387171
P30,2025-02-28,Image,Sample caption 30,2378,138,113,8655,#music,6326,Friday,0,3,2629,0.4155864685425229
P31,2025-03-02,Video,Sample caption 31,3199,288,2,8620,#fashion,6510,Sunday,0,3,3489,0.5359447004608295
P32,2025-03-04,Image,Sample caption 32,300,32,130,7116,#fitness,6693,Tuesday,0,3,462,0.06902734199910354
P33,2025-03-06,Image,Sample caption 33,4975,112,54,14757,#art,6877,Thursday,0,3,5141,0.7475643449178421
P34,2025-03-08,Reel,Sample caption 34,3204,48,87,14986,#food,7061,Saturday,0,3,3339,0.47287919558136243
P35,2025-03-10,Reel,Sample caption 35,4698,344,129,17146,#fun,7244,Monday,0,3,5171,0.7138321369409166
P36,2025-03-12,Reel,Sample caption 36,2554,290,147,14575,#fun,7428,Wednesday,0,3,2991,0.4026655896607431
P37,2025-03-14,Image,Sample caption 37,3745,450,126,9708,#fitness,7612,Friday,0,3,4321,0.5676563321071991
P38,2025-03-16,Image,Sample caption 38,904,335,130,16871,#food,7795,Sunday,0,3,1369,0.17562540089801154
P39,2025-03-18,Video,Sample caption 39,2831,132,53,12335,#food,7979,Tuesday,0,3,3016,0.3779922296027071
P40,2025-03-20,Video,Sample caption 40,2873,352,172,13668,#music,8163,Thursday,0,3,3397,0.41614602474580425
P41,2025-03-22,Image,Sample caption 41,1670,477,160,2549,#art,8346,Saturday,0,3,2307,0.2764198418404026
P42,2025-03-24,Video,Sample caption 42,2790,235,198,5923,#music,8530,Monday,0,3,3223,0.37784290738569754
P43,2025-03-26,Image,Sample caption 43,3940,194,160,15089,#music,8714,Wednesday,0,3,4294,0.49277025476245123
P44,2025-03-28,Reel,Sample caption 44,1128,229,68,19992,#music,8897,Friday,0,3,1425,0.16016634820726086
P45,2025-03-30,Image,Sample caption 45,602,389,183,7658,#music,9081,Sunday,0,3,1174,0.12928091619865653
P46,2025-04-01,Video,Sample caption 46,4593,381,184,10748,#music,9265,Tuesday,0,3,5158,0.55671883432272
P47,2025-04-03,Image,Sample caption 47,970,287,123,7900,#fashion,9448,Thursday,0,3,1380,0.1460626587637595
P48,2025-04-05,Video,Sample caption 48,4588,450,145,10374,#food,9632,Saturday,0,3,5183,0.5381021594684385
P49,2025-04-07,Video,Sample caption 49,306,125,38,15651,#music,9816,Monday,0,3,469,0.047779136104319476
P50,2025-04-09,Image,Sample caption 50,1584,120,24,19139,#food,10000,Wednesday,0,3,1728,0.1728
